"first_name","last_name","position","body_fat","hand_length","hand_width","weight","height_shoes","height_noshoes","standing_reach","wingspan","lane_shuttle_left","lane_shuttle_right","sprint_3_4_court","lane_agility","vertical_max","vertical_nostep","spot_up_shooting","side_mid_side_drill","mid_side_mid_drill","off_the_dribble_shooting","free_throws","x3_point_star_drill","mid_range_star_drill","testing_year"
" Collin","Gillespie",1,"8.6",8.25,9,195.8,"6'2.75''","6'1.5''","8'2''","6'4''",3.008,3.119,3.21,10.95,33,26.5,"18/25","16/30","0/30","23/30","9/10","16/25","0/25",2022
" Jean","Montero",1,"7.4",8,8.75,171.8,"6'2.25''","6'1''","8'2.5''","6'5.25''",3.165,3.217,3.17,11.19,37,29.5,"16/25","9/30","0/30","21/30","10/10","15/25","0/25",2022
" Matteo","Spagnolo",1,"8.6",8.25,10,196.2,"6'5.5''","6'4''","8'6''","6'8''",3.16,3.178,3.4,11.42,31.5,25.5,NA,NA,NA,NA,NA,NA,NA,2022
" Andrew","Nembhard",1,"4.4",8,9.5,195.6,"6'4.5''","6'3''","8'3''","6'5.75''",3.019,3.214,3.26,10.46,35,26.5,NA,NA,NA,NA,NA,NA,NA,2022
" Marcus","Sasser",1,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Iverson","Molinar",1,"4.8",8.5,9.5,183.2,"6'3.25''","6'2.25''","8'5''","6'8''",3.124,3.097,3.19,11.23,38,31,"12/25","8/30","0/30","20/30","10/10","10/25","0/25",2022
" Hugo","Besson",1,"8.8",7.5,8.5,180.4,"6'5.75''","6'4.5''","8'6''","6'5.5''",3.249,3.245,3.4,11.36,31.5,24.5,"20/25","12/30","0/30","22/30","10/10","14/25","0/25",2022
" Jaden","Ivey",1,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Kennedy","Chandler",1,"4.4",8.5,9.5,172.2,"6'0.5''","5'11.5''","8'1''","6'5.25''",2.89,3.105,NA,10.73,41.5,31,NA,NA,NA,NA,NA,NA,NA,2022
" Scotty","Pippen Jr.",1,"5.3",7.75,9,180,"6'1.5''","6'0''","7'11.5''","6'5.75''",3.099,3.127,3.21,11.07,37.5,30.5,"8/25","11/30","0/30","19/30","7/10","14/25","0/25",2022
" Jared","Rhoden",2,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Ryan","Rollins",2,"5",8,8.5,179.2,"6'3.25''","6'2''","8'4.5''","6'9.75''",3.332,3.281,3.07,11.26,36.5,30.5,"15/25","10/30","0/30","17/30","9/10","12/25","0/25",2022
" Johnny","Juzang",2,"7.5",8.5,9.5,208.6,"6'6.5''","6'5.25''","8'6.5''","6'11''",3.225,3.171,3.29,11.03,32.5,27.5,NA,NA,NA,NA,NA,NA,NA,2022
" Johnny","Davis",2,"6.7",8.5,10.25,196.4,"6'5.75''","6'4.25''","8'7.5''","6'8.5''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Dereon","Seabron",2,"4",8.5,9.5,182.4,"6'5.75''","6'4.75''","8'7.5''","6'8.75''",3.037,3.083,3.12,11.03,38,30.5,"11/25","8/30","1/30","17/30","8/10","15/25","0/25",2022
" Terquavion","Smith",2,"3.8",8.5,8,165.2,"6'3.75''","6'2.25''","8'2''","6'6.5''",3.034,3.114,3.14,10.63,38.5,30.5,"13/25","12/30","0/30","19/30","9/10","13/25","0/25",2022
" Blake","Wesley",2,"5.6",8.25,9,187.2,"6'4.25''","6'3''","8'7''","6'9.25''",3.253,3.364,3.21,11.55,36,30,NA,NA,NA,NA,NA,NA,NA,2022
" Malaki","Branham",2,"6.1",8.5,9.75,194.8,"6'5.5''","6'4''","8'6.5''","6'10''",3.218,3.089,3.17,11.38,35,29,NA,NA,NA,NA,NA,NA,NA,2022
" Bryce","McGowens",2,"5.4",8.75,9.5,181.2,"6'6.5''","6'5.25''","8'7.5''","6'8.75''",3.443,3.257,3.27,11.12,34,29.5,"11/25","9/30","0/30","18/30","8/10","13/25","0/25",2022
" Max","Christie",2,"4.8",8,8.5,189.2,"6'5.75''","6'4.25''","8'6.5''","6'8.75''",3.062,3.024,3.07,10.82,37.5,32,"16/25","18/30","0/30","18/30","8/10","13/25","0/25",2022
" Ochai","Agbaji",2,"5.4",8.75,9.5,216.8,"6'5.75''","6'4.5''","8'8''","6'10.25''",3.177,3.106,3.13,10.77,39,32,NA,NA,NA,NA,NA,NA,NA,2022
" Christian","Braun",2,"6.2",8,8.5,209.2,"6'7''","6'5.5''","8'3.5''","6'6.5''",3.134,3.134,3.16,11,40,33.5,"12/25","12/30","0/30","14/30","4/10","12/25","0/25",2022
" TyTy","Washington",2,"12",8.5,9.25,196.4,"6'3.75''","6'2.25''","8'3.5''","6'8''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Shaedon","Sharpe",2,"4.8",9,9.25,198,"6'5.25''","6'4.25''","8'7.5''","6'11.5''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Marjon","Beauchamp",2,"5.3",9,9,196.6,"6'6.5''","6'5.25''","8'10''","7'0.75''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Dyson","Daniels",2,"4.9",8.5,9.75,195.2,"6'7.5''","6'6''","8'9''","6'10.5''",2.813,2.917,3.22,10.81,34,29,NA,NA,NA,NA,NA,NA,NA,2022
" Jaden","Hardy",2,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Wendell","Moore Jr.",2,"7.5",8.75,10.25,217.2,"6'5.5''","6'4.25''","8'5''","7'0.5''",3.326,3.213,3.3,10.94,38.5,32.5,NA,NA,NA,NA,NA,NA,NA,2022
" Trevor","Keels",2,"13.5",8.25,9,223.8,"6'4.75''","6'3.25''","8'5''","6'7.25''",3.421,3.32,3.27,11.33,31,24.5,NA,NA,NA,NA,NA,NA,NA,2022
" Alondes","Williams",2,"7.2",8.5,9.25,209,"6'5''","6'3.75''","8'6''","6'7''",3.147,3.107,3.15,10.96,35.5,30,"15/25","10/30","0/30","16/30","7/10","11/25","0/25",2022
" JD","Davison",2,"7.8",8.5,9.5,191.8,"6'2.5''","6'0.5''","8'3.5''","6'6.5''",3.226,3.26,3.26,11.38,37,30,NA,NA,NA,NA,NA,NA,NA,2022
" Keon","Ellis",2,"3.8",8,9.25,167.4,"6'4.75''","6'3.5''","8'6''","6'8.5''",3.163,3.015,3.18,10.87,35.5,28,"14/25","11/30","0/30","25/30","10/10","15/25","0/25",2022
" Bennedict","Mathurin",2,"5.7",8.5,9.75,204.6,"6'6''","6'4.5''","8'8''","6'9''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Dalen","Terry",2,"5.4",8.5,9,195.2,"6'7.25''","6'6''","8'10''","7'0.75''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Tyrese","Martin",3,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Kendall","Brown",3,"4.9",9,9,201.2,"6'7.5''","6'6.25''","8'7''","6'11''",3.177,3.048,3.29,11.57,41,31.5,"8/25","10/30","0/30","15/30","10/10","18/25","0/25",2022
" Matthew","Mayer",3,"11.1",9,10.25,216.4,"6'9.25''","6'8''","8'9''","6'10.5''",NA,NA,3.39,10.74,31.5,25.5,NA,NA,NA,NA,NA,NA,NA,2022
" Gabriele","Procida",3,"3.8",8,9.25,192.8,"6'7.75''","6'5.75''","8'10''","6'8''",3.215,3.142,3.07,11.02,35,29.5,NA,NA,NA,NA,NA,NA,NA,2022
" Julian","Strawther",3,"7.9",8.25,8.5,207.6,"6'7''","6'5.75''","8'8.5''","6'9.5''",3.374,3.451,3.26,10.3,35,28.5,"18/25","14/30","0/30","21/30","9/10","14/25","0/25",2022
" Jalen","Wilson",3,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" AJ","Griffin",3,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Aminu","Mohammed",3,"5.1",8.75,9.5,212.8,"6'5''","6'3.5''","8'8''","6'11''",3.199,3.045,3.33,11.54,36,29.5,"15/25","12/30","0/30","23/30","10/10","11/25","0/25",2022
" Patrick","Baldwin Jr.",3,"8.9",8.75,9.5,230.8,"6'10.25''","6'9.25''","9'2.5''","7'1.75''",3.527,3.301,3.45,12.25,26.5,23.5,"15/25","9/30","0/30","18/30","9/10","12/25","0/25",2022
" Ousmane","Dieng",3,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Ron","Harper",3,"14.3",9.5,10,240.4,"6'5.5''","6'4''","8'9.5''","7'1.25''",3.237,3.258,3.4,11.41,30.5,26,"17/25","11/30","0/30","22/30","5/10","15/25","0/25",2022
" Jalen","Williams",3,"8.9",8.5,9.5,209.2,"6'5.75''","6'4.5''","8'9.5''","7'2.25''",3.171,3.303,3.11,11.13,39,33.5,"13/25","8/30","0/30","21/30","9/10","13/25","0/25",2022
" Peyton","Watson",3,"5.2",8.5,9.5,203.4,"6'8''","6'6.75''","8'11.5''","7'0.5''",3.242,3.318,3.28,11.03,33.5,28,NA,NA,NA,NA,NA,NA,NA,2022
" Julian","Champagnie",3,"7.1",8.75,9.25,212.4,"6'7.75''","6'6.25''","8'11''","6'10''",3.096,3.039,3.14,11.39,34.5,28.5,"19/25","14/30","0/30","17/30","10/10","16/25","0/25",2022
" Harrison","Ingram",3,"8.3",9,10,232.8,"6'7''","6'5.25''","8'7.5''","7'0.25''",3.26,3.279,3.31,11.83,35,29.5,"12/25","0/30","11/30","15/30","6/10","13/25","0/25",2022
" Jake","LaRavia",4,"9",8.5,10.25,227.2,"6'8''","6'6.75''","8'8''","6'9.5''",3.002,2.891,3.37,10.58,34,27.5,"14/25","15/30","0/30","21/30","7/10","17/25","0/25",2022
" Leonard","Miller",4,"5.7",9.25,10.5,211,"6'10''","6'8.5''","8'10.5''","7'2''",3.208,3.019,3.36,11.11,36.5,30,"10/25","0/30","9/30","15/30","9/10","0/25","14/25",2022
" Trevion","Williams",4,"10.8",9,10.25,264.6,"6'8.75''","6'7.25''","9'0.5''","7'2.75''",3.573,3.475,3.48,12.75,30,27.5,"7/25","6/30","0/30","14/30","7/10","11/25","0/25",2022
" E.J.","Liddell",4,"12.2",8.25,9.25,243,"6'7''","6'5.5''","8'7.5''","6'11.75''",3.235,3.54,3.26,11.11,38,35.5,NA,NA,NA,NA,NA,NA,NA,2022
" Ismael","Kamagate",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Josh","Minott",4,"4.7",8.5,9.25,197.2,"6'8.75''","6'7.5''","8'11.5''","6'11.75''",2.987,3.013,3.16,10.5,36.5,30,"13/25","14/30","0/30","21/30","8/10","12/25","0/25",2022
" Chet","Holmgren",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Keegan","Murray",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Kenneth","Lofton",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Darius","Days",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Tari","Eason",4,"5.9",9.25,11,217.4,"6'8''","6'6.75''","8'11.5''","7'2''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Justin","Lewis",4,"7.3",9,10.5,235.4,"6'7.5''","6'6.25''","8'9.5''","7'2.5''",3.025,3.384,3.23,11.49,35,32.5,"19/25","13/30","0/30","17/30","9/10","9/25","0/25",2022
" Nikola","Jovic",4,"7.4",8.75,9.75,222.6,"6'11''","6'9.5''","9'0.5''","7'0.25''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Fanbo","Zeng",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Dominick","Barlow",4,"5.9",9,10.5,221,"6'9.75''","6'8.75''","9'0.5''","7'3''",3.195,3.185,3.33,11.3,34,28.5,"14/25","12/30","8/30","18/30","8/10","9/25","0/25",2022
" John","Butler",4,"4.7",8.5,8.75,174.4,"7'0.75''","6'11.75''","9'4''","7'2.25''",3.045,3.154,3.33,11.16,28.5,26.5,"15/25","8/30","0/30","15/30","10/10","15/25","0/25",2022
" Paolo","Banchero",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Jeremy","Sochan",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Bryson","Williams",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Jabari","Smith",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Jabari","Walker",4,"12.1",8.75,9.75,213.8,"6'8''","6'6.75''","8'9''","6'10.75''",3.117,3.4,3.24,11.53,32.5,29.5,"15/25","10/30","0/30","14/30","6/10","11/25","0/25",2022
" David","Roddy",4,"11.6",8.75,10,260.8,"6'6''","6'4.5''","8'9''","6'11.5''",3.096,3.198,3.22,10.75,35.5,27,"13/25","17/30","0/30","18/30","9/10","13/25","0/25",2022
" Jaylin","Williams",4,"8",8.5,10.5,236.6,"6'10''","6'8.75''","9'0.5''","7'1''",3.102,3.288,3.5,11.64,30,24.5,"10/25","16/30","0/30","16/30","7/10","0/25","9/25",2022
" Walker","Kessler",5,"14.7",8.5,8.5,256,"7'1''","7'0.25''","9'5''","7'4.25''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Christian","Koloko",5,"5.7",9,10.75,221,"7'0''","6'10.75''","9'5''","7'5.25''",3.195,3.279,3.27,11.3,33.5,28,"9/25","0/30","0/30","15/30","8/10","16/25","0/25",2022
" Mark","Williams",5,"5.4",9,9.75,242.4,"7'2''","7'0''","9'9''","7'6.5''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Orlando","Robinson",5,"9.5",8.75,10,244.4,"6'11''","6'9.75''","9'3''","7'4''",3.436,3.232,3.55,11.4,27.5,23,"15/25","10/30","0/30","18/30","9/10","13/25","0/25",2022
" Michael","Foster Jr.",5,"6.2",8.75,10,236.6,"6'9.25''","6'7.75''","9'1.5''","7'0.25''",3.098,3.36,3.22,11.49,32.5,28,"15/25","10/30","0/30","20/30","10/10","14/25","0/25",2022
" Drew","Timme",5,"15.7",9,10,231.6,"6'9.25''","6'8.25''","8'11.5''","7'2''",3.455,3.311,3.38,11.71,31.5,25.5,"11/25","11/30","0/30","13/30","9/10","10/25","0/25",2022
" Khalifa","Diop",5,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Jalen","Duren",5,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Kofi","Cockburn",5,"8.2",9.75,10.25,293,"7'0''","6'11''","9'2.5''","7'4.25''",3.428,3.309,3.33,12.11,32.5,29.5,"7/25","0/30","8/30","14/30","6/10","0/25","14/25",2022
" Trayce","Jackson-Davis",5,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Moussa","Diabate",5,"2.7",8.5,10.5,216.6,"6'10.25''","6'9.25''","9'1.5''","7'2.5''",2.913,2.9,3.26,11.16,36.5,29,"11/25","0/30","12/30","19/30","7/10","0/25","14/25",2022
